country,year,age1564_pct
PRK,2020,69.8327311825785
PRK,2021,69.6600902082142
PRT,2011,66.0859174471284
PRT,2012,65.8555190404398
PRT,2013,65.5944048254508
PRT,2014,65.3302452379704
PRT,2015,65.126992390842
PRT,2016,64.8902291547221
PRT,2017,64.6083708165567
PRT,2018,64.3500227062455
PRT,2019,64.0780142495373
PRT,2020,63.7995986507522
PRT,2021,63.5636491754777
PRY,2011,62.9391125069781
PRY,2012,63.3683047403022
PRY,2013,63.7406110712259
PRY,2014,64.0470518769036
PRY,2015,64.283971221134
PRY,2016,64.453349156346
PRY,2017,64.5619527974404
PRY,2018,64.6258511339338
PRY,2019,64.6699768444118
PRY,2020,64.7156887396906
PRY,2021,64.7905233579816
PSE,2011,55.5841937652875
PSE,2012,55.9078412445292
PSE,2013,56.1995735831012
PSE,2014,56.4627356961458
PSE,2015,56.6701131134906
PSE,2016,56.8426367209549
PSE,2017,56.9185550343498
PSE,2018,56.9225409060852
PSE,2019,56.9725227158673
PSE,2020,57.1178387168293
PSE,2021,57.3431169497133
PYF,2011,68.0184523437126
PYF,2012,68.1242184167114
PYF,2013,68.236707282671
PYF,2014,68.3735697164307
PYF,2015,68.5378923653847
PYF,2016,68.7225868846881
PYF,2017,68.874079971723
PYF,2018,69.1114323545336
PYF,2019,69.3920264054316
PYF,2020,69.4868360260593
PYF,2021,69.4900140104077
QAT,2011,84.9067616444408
QAT,2012,84.4749430685165
QAT,2013,84.2675120692734
QAT,2014,84.5362274677106
QAT,2015,85.0004150650272
QAT,2016,85.2115049327299
QAT,2017,85.1403706234452
QAT,2018,84.9008489965384
QAT,2019,84.2722328471747
QAT,2020,83.3551879431043
QAT,2021,83.1531782441238
ROU,2011,68.173303919419
ROU,2012,67.987473244784
ROU,2013,67.8443383194302
ROU,2014,67.5465618438621
ROU,2015,67.1333496502281
ROU,2016,66.7152920502478
ROU,2017,66.2634006422186
ROU,2018,65.8004680304066
ROU,2019,65.3516450135071
ROU,2020,64.8847498479951
ROU,2021,64.5750261544466
RUS,2011,72.0292797017845
RUS,2012,71.5757065534545
RUS,2013,71.0307780178912
RUS,2014,70.3612786579556
RUS,2015,69.6107173405512
RUS,2016,68.9243897445989
RUS,2017,68.3009219594445
RUS,2018,67.7832495905018
RUS,2019,67.2972984998669
RUS,2020,66.8593105362114
RUS,2021,66.546118958482
RWA,2011,55.0742533408022
RWA,2012,55.2987141803051
RWA,2013,55.5068130968671
RWA,2014,55.6992111665916
RWA,2015,55.8901563931752
RWA,2016,56.1025994818604
RWA,2017,56.3437544011522
RWA,2018,56.6302952050914
RWA,2019,56.9801057489909
RWA,2020,57.3677254660379
RWA,2021,57.7540684344595
SAU,2011,70.7168832641369
SAU,2012,71.3417737515747
SAU,2013,71.8696842780143
SAU,2014,72.3162048199076
SAU,2015,72.7032579683734
